latitude,longitude,distance_to_any_km,nearest_facility,distance_to_hospital_km,nearest_hospital,distance_to_clinic_km,nearest_clinic
12.8505153,80.11466560000001,8.920576756314942,Unnamed,8.994984763245867,Rajan Hospital,8.925766706206335,Dr. S. Satish Kumar M.D.S
12.8505153,80.11669987070708,8.723928519220438,Unnamed,8.80302862833564,Rajan Hospital,8.72956702874734,Dr. S. Satish Kumar M.D.S
12.8505153,80.11873414141415,8.528745591131498,Unnamed,8.612735255317252,Rajan Hospital,8.53485226186018,Dr. S. Satish Kumar M.D.S
12.8505153,80.12076841212122,8.335130911669005,Unnamed,8.424217324577434,Rajan Hospital,8.341726389711242,Dr. S. Satish Kumar M.D.S
12.8505153,80.1228026828283,8.143196342819778,Unnamed,8.237596730350083,Rajan Hospital,8.150302362272706,Dr. S. Satish Kumar M.D.S
12.8505153,80.12483695353536,7.953063525926557,Unnamed,8.053005380520657,Rajan Hospital,7.960702948784607,Dr. S. Satish Kumar M.D.S
12.8505153,80.12687122424244,7.764864816836921,Unnamed,7.870586053918332,Rajan Hospital,7.7730616675622946,Dr. S. Satish Kumar M.D.S
12.8505153,80.1289054949495,7.578744302766675,Unnamed,7.690493313969581,Rajan Hospital,7.587523795237989,Dr. S. Satish Kumar M.D.S
12.8505153,80.13093976565658,7.3948589030706176,Unnamed,7.51289447542862,Rajan Hospital,7.404247457069291,Dr. S. Satish Kumar M.D.S
12.8505153,80.13297403636365,7.213379554174414,Unnamed,7.337970618113352,Rajan Hospital,7.223404797904213,Dr. S. Satish Kumar M.D.S
12.8505153,80.13500830707072,7.034492476039845,Unnamed,7.165917637838521,Rajan Hospital,7.045183230397579,Dr. S. Satish Kumar M.D.S
12.8505153,80.13704257777779,6.8584005136021995,Unnamed,6.996947320004171,Rajan Hospital,6.869786753022461,Dr. S. Satish Kumar M.D.S
12.8505153,80.13907684848486,6.6853245411972795,Unnamed,6.831288415239093,Rajan Hospital,6.697437324885429,Dr. S. Satish Kumar M.D.S
12.8505153,80.14111111919193,6.515504910898461,Unnamed,6.669187689074097,Rajan Hospital,6.528376277160021,Dr. S. Satish Kumar M.D.S
12.8505153,80.143145389899,6.349202916380368,Unnamed,6.510910908516496,Rajan Hospital,6.362865731588765,Dr. S. Satish Kumar M.D.S
12.8505153,80.14517966060608,6.186702232162296,Unnamed,6.356743717644961,Rajan Hospital,6.201189984745308,Dr. S. Satish Kumar M.D.S
12.8505153,80.14721393131315,6.028310273380831,Unnamed,6.206992341838053,Rajan Hospital,6.043656802154004,Dr. S. Satish Kumar M.D.S
12.8505153,80.1492482020202,5.874359403502314,Unnamed,6.061984046342697,Rajan Hospital,5.890598548891223,Dr. S. Satish Kumar M.D.S
12.8505153,80.15128247272727,5.725207896443383,Unnamed,5.922067259935975,Rajan Hospital,5.742373062836557,Dr. S. Satish Kumar M.D.S
12.8505153,80.15331674343435,5.581240535948727,Unnamed,5.787611259486575,Rajan Hospital,5.599364153903583,Dr. S. Satish Kumar M.D.S
12.8505153,80.15535101414142,5.442868709547825,Unnamed,5.6590052975150975,Rajan Hospital,5.461981588204765,Dr. S. Satish Kumar M.D.S
12.8505153,80.15738528484849,5.31052982905462,Unnamed,5.536657044672202,Rajan Hospital,5.31128089426655,KK clinic
12.8505153,80.15941955555556,5.164475786729981,KK clinic,5.420990214892643,Rajan Hospital,5.164475786729981,KK clinic
12.8505153,80.16145382626263,5.023569345821516,KK clinic,5.312441246380351,Rajan Hospital,5.023569345821516,KK clinic
12.8505153,80.1634880969697,4.889071609157809,KK clinic,5.211454930167068,Rajan Hospital,4.889071609157809,KK clinic
12.8505153,80.16552236767677,4.761525683361754,KK clinic,5.118478913576347,Rajan Hospital,4.761525683361754,KK clinic
12.8505153,80.16755663838384,4.641504699317264,KK clinic,5.033957061290891,Rajan Hospital,4.641504699317264,KK clinic
12.8505153,80.16959090909091,4.5296068616263865,KK clinic,4.958321732981141,Rajan Hospital,4.5296068616263865,KK clinic
12.8505153,80.17162517979799,4.426448257309625,KK clinic,4.891985131541567,Rajan Hospital,4.426448257309625,KK clinic
12.8505153,80.17365945050506,4.332653163481792,KK clinic,4.835329983913768,Rajan Hospital,4.332653163481792,KK clinic
12.8505153,80.17569372121213,4.248841736526634,KK clinic,4.788699926502128,Rajan Hospital,4.248841736526634,KK clinic
12.8505153,80.1777279919192,4.175615185300306,KK clinic,4.75239006453231,Rajan Hospital,4.175615185300306,KK clinic
